_,Register,"Dictionary Version at introduction","Node or
Leaf",Level,"SMPTE Designator
(first 8 octets)",,,,,,,Version,"SMPTE Item Designator
(last 8 octets following Metadata Dictionary Universal Label) ",,,,,,,,,,,"Formatted as UL",,,,,,"Data Element Name","Data Element Definition",Type,,,,,,"Value Length","Value Range",,,"Defining Document",Notes
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,04,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.04.00.00.00.00,,,,,,ISWC,"ISO Musical Work Code","As per ISO standard",,,,,,,,,,"ISO 15707",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,05,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.05.00.00.00.00,,,,,,ISMN,"ISO Printed Music Number","As per ISO standard",,,,,,,,,,"ISO 10957",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,06,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.06.00.00.00.00,,,,,,ISCI,"American Association of Advertising Industries Commercial Identifier","As per AAAA standard",,,,,,,,,,"AAAA's ISCI",http://www.aaaa.org/publications/search.asp
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,07,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.07.00.00.00.00,,,,,,ISRC,"ISO Recording Code","As per ISO standard",,,,,,,,,,"ISO 3901",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,08,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.08.00.00.00.00,,,,,,ISRN,"ISO Report Number","As per ISO standard",,,,,,,,,,"ISO 10444",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,09,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.09.00.00.00.00,,,,,,ISBD,"International Federation of Library Associations and Institutions Bibliographic Descriptor","As per IFLA standard",,,,,,,,,,"IFLA's ISBD",http://www.ifla.org/VII/s13/pubs/isbd.htm
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,0A,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.0A.00.00.00.00,,,,,,ISTC,"ISO Textual Work Code","As per ISO standard",,,,,,,,,,"ISO 21047",
,Metadata,1,Node,3,06,0E,2B,34,01,01,01,1,01,01,13,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.13.00.00.00.00.00,,,,,,"International Standard based Compound IDs","Compound Identifiers based on an internationally accepted Standard",,,,,,,,,,,,
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,13,01,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.13.01.00.00.00.00,,,,,,SICI,"ANSI/NISO Serial Item and Contribution Identifier","As per ANSI/NISO standard",,,,,,,,,,"ANSI/NISO Z39.56 - 1996",http://sunsite.berkeley.edu/SICI/
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,13,02,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.13.02.00.00.00.00,,,,,,BICI,"ANSI/NISO Book Item and Component Identifier","As per ANSI/NISO standard",,,,,,,,,,"ANSI/NISO Z39.56 - 1997 (not yet ratified)",http://www.niso.org/commitap.html
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,13,03,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.13.03.00.00.00.00,,,,,,AICI,"ANSI/NISO Audio-Visual Item and Component Identifier [proposed]","As per ANSI/NISO standard",,,,,,,,,,"Not yet ratified",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,13,04,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.13.04.00.00.00.00,,,,,,PII,"American Chemical Society Publisher Item Identifier","As per ACS standard",,,,,,,,,,"ACS's PII",http://pubs.acs.org/journals/pubiden.html
,Metadata,1,Node,3,06,0E,2B,34,01,01,01,1,01,01,15,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.15.00.00.00.00.00,,,,,,"Object identifiers","Object identifiers",,,,,,,,,,,,
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,15,01,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.15.01.00.00.00.00,,,,,,DOI,"International DOI Foundation Digital Object Identifier","As per DOI standard",,,,,,,,,,"International DOI Foundation Digital Object Identifier",http://www.doi.org
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,15,02,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.15.02.00.00.00.00,,,,,,GUID,"The ISO/IEC 11578 (Annex A) 16 byte Globally Unique Identifier","As per ISO 11578 standard (Annex A)",,,,,,"16 bytes",,,," ISO 11578 (Annex A)",
,Metadata,2,Leaf,4,06,0E,2B,34,01,01,01,2,01,01,15,03,00,00,00,00,,,,06.0E.2B.34.01.01.01.02.01.01.15.03.00.00.00.00,,,,,,"Defined Object ID","The unique identifier for the item being defined",AUID,,,,,,"16 bytes",,,," ISO 11578 (Annex A)",
,Metadata,3,Leaf,4,06,0E,2B,34,01,01,01,3,1,1,15,4,0,0,0,0,,,,06.0E.2B.34.01.01.01.03.01.01.15.04.00.00.00.00,,,,,,"Global Number","Organizationally-given global number used to identify subjects in the image ","ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set",,,,,,"14 bytes",,,,,
